! Elevation (m)
! Area (ha)
! Volume (1000m3)
! Discharge - Maximum Outflow (m3/s)
glennifer_lake_res_info
elevation	area	volume	discharge
917	0	0	0
924	292.434	10235.19	0
926	349.198	16651.51	1.81899E-12
928	417.495	24318.44	31.2
930	497.325	33466.64	62.4
932	588.687	44326.76	65.48571429
934	691.583	57129.46	68.57142857
935	747.355	64324.15	70.11428571
936	806.01	72090.98	71.65714286
938	931.971	89470.79	74.74285714
940	1069.464	109485.14	77.82857143
941	1142.536	120545.14	105.7333333
942	1218.491	132350.27	160
943	1297.328	144929.37	355
944	1379.05	158311.26	550
945	1463.654	172524.78	837.5
946	1551.141	187598.75	1125
947	1641.512	203562.02	1500
948	1734.766	220443.41	1875
950	1929.923	257090.3	2625




